site,date,,bad_leaf_y,kbdi,avg_soil_y,soil_5_y,soil_25_y,soil_60_y,vpd,mean_leaf_y,leaf_y,lfm,mean_lfm,sd_lfm,max_wind,two_week_vpd,two_week_tmax,two_week_soil_5_y
COOK,,,,,1.8865265,,,,15.61,,3.1,65.12866016,,,,,,
COOK,,,,,1.8865265,,,,15.61,,3.68,59.91869919,,,,,,
COOK,,,,,1.8865265,,,,15.61,,2.1,56.51598677,,,,,,
COOK,,,,,1.8865265,,,,15.61,,1.71,69.1239257,,,,,,
COOK,,,,,1.8865265,,,,15.61,,1.34,61.00829811,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.18,81.77446372,78.65814174,3.988289939,,,,
COOK,,,,,1.369292,,,,14.62,,2.21,72.27049755,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.46,72.90567402,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.25,74.80047383,,,,,,
COOK,,,,,1.369292,,,,14.62,,1.55,85.26082997,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.3,77.87483703,,,,,,
COOK,,,,,1.369292,,,,14.62,,1.34,78.86156872,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.59,79.51521984,,,,,,
COOK,,,,,1.369292,,,,14.62,,1.9,79.87125795,,,,,,
COOK,,,,,1.369292,,,,14.62,,2.16,79.89969676,,,,,,
COOK,,,,,1.369292,,,,14.62,,0.982,82.20503975,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,106.4290711,106.4290711,8.424022422,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,103.1151365,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,99.7115598,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,127.3031126,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,126.9157349,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,112.1933557,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.6620633,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,105.3001375,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.9796373,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,110.1650582,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.4466132,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.2065353,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,107.5065185,,,,,,
